name,accuracy,sample_count,above_random
william,0.492000013589859,3059,0.4586666802565257
nick,0.2238493710756302,2388,0.19051603774229686
mark,0.20400001108646393,2574,0.1706666777531306
lisa,0.19878295063972473,2464,0.1654496173063914
daniel,0.19200000166893005,4333,0.15866666833559673
ana,0.18400001525878906,2983,0.15066668192545574
emma,0.1818181723356247,2361,0.14848483900229137
alex,0.17400000989437103,6149,0.1406666765610377
michelle,0.16293279826641083,2451,0.1295994649330775
ashley,0.1395348757505417,2365,0.10620154241720836
andrew,0.1380000114440918,2629,0.10466667811075847
emily,0.1380000114440918,2731,0.10466667811075847
jessica,0.12000000476837158,3451,0.08666667143503826
chris,0.12000000476837158,3924,0.08666667143503826
matt,0.11924685537815094,2387,0.08591352204481761
maria,0.09200000762939453,3375,0.0586666742960612
sam,0.09200000762939453,3010,0.0586666742960612
sarah,0.08800000697374344,4545,0.054666673640410106
sara,0.08800000697374344,3033,0.054666673640410106
laura,0.08400000631809235,4746,0.05066667298475901
john,0.08400000631809235,3864,0.05066667298475901
anna,0.0820000022649765,3450,0.04866666893164317
mike,0.07692307978868484,2466,0.04358974645535151
michael,0.07200000435113907,4931,0.038666671017805736
amanda,0.052000001072883606,3504,0.018666667739550273
andrea,0.052000001072883606,3136,0.018666667739550273
david,0.05000000074505806,5823,0.016666667411724727
thomas,0.04400000348687172,3020,0.010666670153538386
nicole,0.030000001192092896,2553,-0.0033333321412404374
james,0.01600000075995922,3815,-0.017333332573374112
